"Prøvedato";"Kommune kode";"Mistænkte positive antigen tests"
;492;0
;810;0
;825;0
2021-02-01;;1
2021-02-01;621;2
2021-02-01;860;1
2021-02-02;;1
2021-02-02;573;1
2021-02-03;461;1
2021-02-03;621;1
2021-02-04;621;1
2021-02-04;630;1
2021-02-05;420;1
2021-02-05;440;1
2021-02-06;;2
2021-02-06;101;1
2021-02-06;621;1
2021-02-07;;3
2021-02-07;430;1
2021-02-07;575;1
2021-02-07;630;1
2021-02-08;;5
2021-02-08;430;1
2021-02-08;751;1
2021-02-09;;1
2021-02-09;461;1
2021-02-09;563;1
2021-02-10;183;1
2021-02-10;330;1
2021-02-10;461;1
2021-02-10;621;2
2021-02-10;630;1
2021-02-11;;4
2021-02-11;440;1
2021-02-11;621;1
2021-02-12;;1
2021-02-12;253;1
2021-02-12;400;1
2021-02-12;479;1
2021-02-12;621;1
2021-02-12;730;1
2021-02-13;;2
2021-02-13;167;1
2021-02-13;461;1
2021-02-13;561;1
2021-02-13;621;1
2021-02-13;813;1
2021-02-14;;5
2021-02-14;253;3
2021-02-14;621;2
2021-02-15;;6
2021-02-15;101;1
2021-02-15;169;1
2021-02-15;185;1
2021-02-15;259;1
2021-02-15;330;1
2021-02-15;350;1
2021-02-15;370;1
2021-02-15;461;5
2021-02-15;615;1
2021-02-15;621;1
2021-02-15;657;1
2021-02-15;751;3
2021-02-16;;5
2021-02-16;101;2
2021-02-16;253;2
2021-02-16;259;1
2021-02-16;265;2
2021-02-16;350;1
2021-02-16;370;2
2021-02-16;661;1
2021-02-16;751;1
2021-02-16;851;1
2021-02-17;;4
2021-02-17;101;10
2021-02-17;147;2
2021-02-17;153;2
2021-02-17;159;1
2021-02-17;175;1
2021-02-17;183;2
2021-02-17;253;3
2021-02-17;259;1
2021-02-17;265;1
2021-02-17;320;1
2021-02-17;480;2
2021-02-17;580;2
2021-02-17;607;1
2021-02-17;621;1
2021-02-17;760;1
2021-02-17;791;1
2021-02-18;;6
2021-02-18;101;4
2021-02-18;183;1
2021-02-18;259;1
2021-02-18;330;1
2021-02-18;461;1
2021-02-18;621;1
2021-02-18;851;1
2021-02-19;;5
2021-02-19;147;1
2021-02-19;159;1
2021-02-19;161;1
2021-02-19;190;2
2021-02-19;217;2
2021-02-19;253;3
2021-02-19;259;1
2021-02-19;265;1
2021-02-19;329;1
2021-02-19;450;1
2021-02-19;461;4
2021-02-19;630;2
2021-02-19;751;1
2021-02-19;851;1
2021-02-19;860;1
2021-02-20;;6
2021-02-20;101;1
2021-02-20;223;1
2021-02-20;230;1
2021-02-20;510;1
2021-02-20;621;1
2021-02-20;630;1
2021-02-20;730;2
2021-02-20;740;1
2021-02-20;751;1
2021-02-20;813;1
2021-02-21;;10
2021-02-21;101;4
2021-02-21;159;1
2021-02-21;161;3
2021-02-21;165;1
2021-02-21;173;1
2021-02-21;175;1
2021-02-21;183;1
2021-02-21;219;1
2021-02-21;253;1
2021-02-21;259;1
2021-02-21;265;2
2021-02-21;320;1
2021-02-21;410;1
2021-02-21;461;1
2021-02-21;510;1
2021-02-21;621;3
2021-02-21;630;2
2021-02-21;851;1
2021-02-21;860;2
2021-02-22;;7
2021-02-22;101;2
2021-02-22;165;1
2021-02-22;169;1
2021-02-22;259;1
2021-02-22;329;2
2021-02-22;330;1
2021-02-22;350;1
2021-02-22;420;1
2021-02-22;461;3
2021-02-22;773;1
2021-02-22;851;1
2021-02-23;;3
2021-02-23;101;3
2021-02-23;147;1
2021-02-23;169;1
2021-02-23;173;2
2021-02-23;185;1
2021-02-23;190;1
2021-02-23;210;2
2021-02-23;217;1
2021-02-23;253;2
2021-02-23;260;1
2021-02-23;306;1
2021-02-23;316;1
2021-02-23;410;1
2021-02-23;461;1
2021-02-23;621;2
2021-02-23;630;2
2021-02-23;751;3
2021-02-23;779;1
2021-02-24;;4
2021-02-24;101;6
2021-02-24;153;1
2021-02-24;167;1
2021-02-24;169;2
2021-02-24;183;1
2021-02-24;190;1
2021-02-24;265;2
2021-02-24;350;1
2021-02-24;370;1
2021-02-24;510;1
