"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;74;2021-04-16
019;0-9;14;2021-04-16
101;0-9;3006;2021-04-16
147;0-9;420;2021-04-16
151;0-9;284;2021-04-16
153;0-9;302;2021-04-16
155;0-9;76;2021-04-16
157;0-9;228;2021-04-16
159;0-9;448;2021-04-16
161;0-9;123;2021-04-16
163;0-9;193;2021-04-16
165;0-9;208;2021-04-16
167;0-9;339;2021-04-16
169;0-9;433;2021-04-16
173;0-9;197;2021-04-16
175;0-9;247;2021-04-16
183;0-9;270;2021-04-16
185;0-9;251;2021-04-16
187;0-9;138;2021-04-16
190;0-9;166;2021-04-16
201;0-9;63;2021-04-16
210;0-9;173;2021-04-16
217;0-9;236;2021-04-16
219;0-9;174;2021-04-16
223;0-9;63;2021-04-16
230;0-9;153;2021-04-16
240;0-9;218;2021-04-16
250;0-9;97;2021-04-16
253;0-9;237;2021-04-16
259;0-9;201;2021-04-16
260;0-9;51;2021-04-16
265;0-9;289;2021-04-16
269;0-9;84;2021-04-16
270;0-9;98;2021-04-16
306;0-9;31;2021-04-16
316;0-9;168;2021-04-16
320;0-9;64;2021-04-16
326;0-9;81;2021-04-16
329;0-9;84;2021-04-16
330;0-9;233;2021-04-16
336;0-9;38;2021-04-16
340;0-9;47;2021-04-16
350;0-9;99;2021-04-16
360;0-9;47;2021-04-16
370;0-9;164;2021-04-16
376;0-9;100;2021-04-16
390;0-9;50;2021-04-16
400;0-9;27;2021-04-16
410;0-9;63;2021-04-16
420;0-9;40;2021-04-16
430;0-9;67;2021-04-16
440;0-9;65;2021-04-16
450;0-9;65;2021-04-16
461;0-9;651;2021-04-16
479;0-9;72;2021-04-16
480;0-9;43;2021-04-16
482;0-9;5;2021-04-16
492;0-9;3;2021-04-16
510;0-9;76;2021-04-16
530;0-9;49;2021-04-16
540;0-9;127;2021-04-16
550;0-9;42;2021-04-16
561;0-9;272;2021-04-16
563;0-9;1;2021-04-16
573;0-9;85;2021-04-16
575;0-9;77;2021-04-16
580;0-9;110;2021-04-16
607;0-9;117;2021-04-16
615;0-9;214;2021-04-16
621;0-9;401;2021-04-16
630;0-9;370;2021-04-16
657;0-9;162;2021-04-16
661;0-9;104;2021-04-16
665;0-9;25;2021-04-16
671;0-9;41;2021-04-16
706;0-9;47;2021-04-16
707;0-9;64;2021-04-16
710;0-9;96;2021-04-16
727;0-9;49;2021-04-16
730;0-9;257;2021-04-16
740;0-9;233;2021-04-16
741;0-9;2;2021-04-16
746;0-9;173;2021-04-16
751;0-9;1231;2021-04-16
756;0-9;80;2021-04-16
760;0-9;48;2021-04-16
766;0-9;70;2021-04-16
773;0-9;32;2021-04-16
779;0-9;50;2021-04-16
787;0-9;48;2021-04-16
791;0-9;131;2021-04-16
810;0-9;62;2021-04-16
813;0-9;75;2021-04-16
