"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;88;0
Hovedstaden;0-9;8682;1
Midtjylland;0-9;3077;0
Nordjylland;0-9;971;0
Sjælland;0-9;2017;0
Syddanmark;0-9;2801;0
;10-19;100;0
Hovedstaden;10-19;16528;0
Midtjylland;10-19;6869;0
Nordjylland;10-19;2509;0
Sjælland;10-19;5351;0
Syddanmark;10-19;5948;0
;20-29;541;0
Hovedstaden;20-29;23310;0
Midtjylland;20-29;8126;0
Nordjylland;20-29;3050;0
Sjælland;20-29;4307;0
Syddanmark;20-29;5818;0
;30-39;595;0
Hovedstaden;30-39;17066;4
Midtjylland;30-39;5300;0
Nordjylland;30-39;1933;0
Sjælland;30-39;4109;2
Syddanmark;30-39;4397;0
;40-49;546;0
Hovedstaden;40-49;16472;4
Midtjylland;40-49;5776;1
Nordjylland;40-49;2133;0
Sjælland;40-49;5325;1
Syddanmark;40-49;5095;1
;50-59;354;1
Hovedstaden;50-59;15171;28
Midtjylland;50-59;5851;12
Nordjylland;50-59;2433;3
Sjælland;50-59;5501;10
Syddanmark;50-59;5024;4
;60-69;126;1
Hovedstaden;60-69;7925;112
Midtjylland;60-69;3222;28
Nordjylland;60-69;1530;10
Sjælland;60-69;3039;36
Syddanmark;60-69;2807;17
;70-79;30;0
Hovedstaden;70-79;4920;329
Midtjylland;70-79;1873;88
Nordjylland;70-79;974;60
Sjælland;70-79;1945;109
Syddanmark;70-79;1698;58
;80-89;10;1
Hovedstaden;80-89;2847;521
Midtjylland;80-89;896;150
Nordjylland;80-89;440;63
Sjælland;80-89;963;155
Syddanmark;80-89;745;90
;90+;12;1
Hovedstaden;90+;1001;305
Midtjylland;90+;260;69
Nordjylland;90+;128;43
Sjælland;90+;273;88
Syddanmark;90+;169;46
