"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;88;0;0;2;16/04/2021
Hovedstaden;0-9;8682;1;2;114;16/04/2021
Midtjylland;0-9;3077;0;0;22;16/04/2021
Nordjylland;0-9;971;0;0;7;16/04/2021
Sjælland;0-9;2017;0;0;19;16/04/2021
Syddanmark;0-9;2801;0;0;22;16/04/2021
;10-19;100;0;0;0;16/04/2021
Hovedstaden;10-19;16528;0;1;91;16/04/2021
Midtjylland;10-19;6869;0;1;28;16/04/2021
Nordjylland;10-19;2509;0;0;10;16/04/2021
Sjælland;10-19;5351;0;0;40;16/04/2021
Syddanmark;10-19;5948;0;0;18;16/04/2021
;20-29;541;0;1;14;16/04/2021
Hovedstaden;20-29;23310;0;3;305;16/04/2021
Midtjylland;20-29;8126;0;1;83;16/04/2021
Nordjylland;20-29;3050;0;3;42;16/04/2021
Sjælland;20-29;4307;0;0;82;16/04/2021
Syddanmark;20-29;5818;0;5;82;16/04/2021
;30-39;595;0;0;21;16/04/2021
Hovedstaden;30-39;17066;4;3;496;16/04/2021
Midtjylland;30-39;5300;0;0;124;16/04/2021
Nordjylland;30-39;1933;0;1;39;16/04/2021
Sjælland;30-39;4109;2;1;122;16/04/2021
Syddanmark;30-39;4397;0;1;105;16/04/2021
;40-49;546;0;1;33;16/04/2021
Hovedstaden;40-49;16472;4;8;656;16/04/2021
Midtjylland;40-49;5776;1;1;195;16/04/2021
Nordjylland;40-49;2133;0;1;71;16/04/2021
Sjælland;40-49;5325;1;2;227;16/04/2021
Syddanmark;40-49;5095;1;3;171;16/04/2021
;50-59;354;1;2;43;16/04/2021
Hovedstaden;50-59;15171;28;12;998;16/04/2021
Midtjylland;50-59;5851;12;3;361;16/04/2021
Nordjylland;50-59;2433;3;4;114;16/04/2021
Sjælland;50-59;5501;10;6;342;16/04/2021
Syddanmark;50-59;5024;4;3;273;16/04/2021
;60-69;126;1;2;25;16/04/2021
Hovedstaden;60-69;7925;112;13;1008;16/04/2021
Midtjylland;60-69;3222;28;4;332;16/04/2021
Nordjylland;60-69;1530;10;4;142;16/04/2021
Sjælland;60-69;3039;36;8;393;16/04/2021
Syddanmark;60-69;2807;17;8;286;16/04/2021
;70-79;30;0;0;12;16/04/2021
Hovedstaden;70-79;4920;329;26;1485;16/04/2021
Midtjylland;70-79;1873;88;8;462;16/04/2021
Nordjylland;70-79;974;60;7;224;16/04/2021
Sjælland;70-79;1945;109;4;564;16/04/2021
Syddanmark;70-79;1698;58;8;368;16/04/2021
;80-89;10;1;0;5;16/04/2021
Hovedstaden;80-89;2847;521;11;1293;16/04/2021
Midtjylland;80-89;896;150;3;315;16/04/2021
Nordjylland;80-89;440;63;0;177;16/04/2021
Sjælland;80-89;963;155;1;457;16/04/2021
Syddanmark;80-89;745;90;7;276;16/04/2021
;90+;12;1;0;0;16/04/2021
Hovedstaden;90+;1001;305;2;388;16/04/2021
Midtjylland;90+;260;69;0;78;16/04/2021
Nordjylland;90+;128;43;0;39;16/04/2021
Sjælland;90+;273;88;0;131;16/04/2021
Syddanmark;90+;169;46;0;60;16/04/2021
