"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;4;0;0;0;16/04/2021
Hovedstaden;0-9;246;0;2;3;16/04/2021
Midtjylland;0-9;75;0;0;0;16/04/2021
Nordjylland;0-9;26;0;0;0;16/04/2021
Sjælland;0-9;62;0;0;0;16/04/2021
Syddanmark;0-9;85;0;0;0;16/04/2021
;10-19;6;0;0;0;16/04/2021
Hovedstaden;10-19;363;0;1;1;16/04/2021
Midtjylland;10-19;183;0;1;1;16/04/2021
Nordjylland;10-19;71;0;0;0;16/04/2021
Sjælland;10-19;105;0;0;0;16/04/2021
Syddanmark;10-19;112;0;0;1;16/04/2021
;20-29;29;0;1;3;16/04/2021
Hovedstaden;20-29;506;0;2;6;16/04/2021
Midtjylland;20-29;151;0;1;1;16/04/2021
Nordjylland;20-29;97;0;2;4;16/04/2021
Sjælland;20-29;83;0;0;2;16/04/2021
Syddanmark;20-29;136;0;3;4;16/04/2021
;30-39;15;0;0;0;16/04/2021
Hovedstaden;30-39;358;0;0;4;16/04/2021
Midtjylland;30-39;93;0;0;1;16/04/2021
Nordjylland;30-39;41;0;0;0;16/04/2021
Sjælland;30-39;103;0;0;1;16/04/2021
Syddanmark;30-39;93;0;1;3;16/04/2021
;40-49;23;0;1;3;16/04/2021
Hovedstaden;40-49;329;0;2;7;16/04/2021
Midtjylland;40-49;113;0;0;1;16/04/2021
Nordjylland;40-49;51;0;0;0;16/04/2021
Sjælland;40-49;70;0;0;0;16/04/2021
Syddanmark;40-49;101;0;1;4;16/04/2021
;50-59;14;0;1;1;16/04/2021
Hovedstaden;50-59;249;0;2;9;16/04/2021
Midtjylland;50-59;114;0;0;3;16/04/2021
Nordjylland;50-59;57;0;0;1;16/04/2021
Sjælland;50-59;87;0;0;1;16/04/2021
Syddanmark;50-59;77;0;0;1;16/04/2021
;60-69;4;1;1;2;16/04/2021
Hovedstaden;60-69;103;0;1;3;16/04/2021
Midtjylland;60-69;40;0;0;1;16/04/2021
Nordjylland;60-69;13;0;0;1;16/04/2021
Sjælland;60-69;63;0;2;3;16/04/2021
Syddanmark;60-69;44;0;1;1;16/04/2021
;70-79;2;0;0;0;16/04/2021
Hovedstaden;70-79;57;0;4;6;16/04/2021
Midtjylland;70-79;32;0;3;4;16/04/2021
Nordjylland;70-79;13;0;0;0;16/04/2021
Sjælland;70-79;29;0;3;5;16/04/2021
Syddanmark;70-79;19;0;1;1;16/04/2021
Hovedstaden;80-89;18;0;3;4;16/04/2021
Midtjylland;80-89;10;1;1;3;16/04/2021
Nordjylland;80-89;3;1;0;1;16/04/2021
Sjælland;80-89;1;0;0;0;16/04/2021
Syddanmark;80-89;2;0;1;1;16/04/2021
Hovedstaden;90+;7;0;1;1;16/04/2021
Nordjylland;90+;3;0;0;1;16/04/2021
Syddanmark;90+;2;1;0;0;16/04/2021
